city,state,count
VARNVILLE,SOUTH CAROLINA,1
SOMERSET,PENNSYLVANIA,1
BILLERICA,MASSACHUSETTS,1
GATESVILLE,TEXAS,1
PAYETTE,IDAHO,1
LEWISBURG,PENNSYLVANIA,1
MADISON,NEBRASKA,1
DEL RIO,TEXAS,1
RAY BROOK,NEW YORK,1
BOSCAWAN,NEW HAMPSHIRE,1
SUFFOLK,VIRGINIA,1
COCOA,FLORIDA,1
TILLAMOOK,OREGON,1
BATTLE CREEK,MICHIGAN,1
MCFARLAND,CALIFORNIA,1
BOERNE,TEXAS,1
PRESCOTT,ARIZONA,1
SAN QUENTIN,CALIFORNIA,1
PORTSMOUTH,VIRGINIA,1
GOFFSTOWN,NEW HAMPSHIRE,1
WEISER,IDAHO,1
INA,ILLINOIS,1
STROUDSBURG,PENNSYLVANIA,1
FARMINGTON,UTAH,1
RICHMOND,TEXAS,1
MARSHALLTOWN,IOWA,1
BISBEE,ARIZONA,1
TWIN FALLS,IDAHO,1
NEWTON,NORTH CAROLINA,1
ORISKANY,NEW YORK,1
PENDLETON,INDIANA,1
MILFORD,PENNSYLVANIA,1
THOMASTON,MAINE,1
NEW CITY,NEW YORK,1
BUCKLEY,WASHINGTON,1
STURGIS,SOUTH DAKOTA,1
LEBANON,OHIO,1
SPARTANBURG,SOUTH CAROLINA,1
WHITE CLOUD,MICHIGAN,1
PORT HURON,MICHIGAN,1
WILMINGTON,DELAWARE,1
CORONA,CALIFORNIA,1
LOUISVILLE,KENTUCKY,1
LEBANON,KENTUCKY,1
MOUNTAIN HOME,IDAHO,1
BANDERA,TEXAS,1
FOND DU LAC,WISCONSIN,1
FT. STOCKTON,TEXAS,1
SCRANTON,PENNSYLVANIA,1
PEARSALL,TEXAS,1
EL CENTRO,CALIFORNIA,1
OLYMPIA,WASHINGTON,1
FAIRFIELD,CALIFORNIA,1
SEVIERVILLE,TENNESSEE,1
WELCH,WEST VIRGINIA,1
ST JOHNS,ARIZONA,1
DOYLESTOWN,PENNSYLVANIA,1
ELLENSBURG,WASHINGTON,1
SEBRING,FLORIDA,1
FLORENCE,COLORADO,1
JACKSON,TENNESSEE,1
SALISBURY,MARYLAND,1
SMYRNA,GEORGIA,1
BEDFORD HILLS,NEW YORK,1
ALAMO,TEXAS,1
CONNEAUT,OHIO,1
SANFORD,FLORIDA,1
SPRINGFIELD,TENNESSEE,1
CHAPARRAL,NEW MEXICO,1
ST. LOUIS,MISSOURI,1
TEMPE,ARIZONA,1
COLLINS,NEW YORK,1
CLEVELAND,OHIO,1
CHULA VISTA,CALIFORNIA,1
BRECKENRIDGE,COLORADO,1
CARROLLTON,TEXAS,1
MARTINEZ,CALIFORNIA,1
CHARLOTTE,NORTH CAROLINA,1
YAZOO CITY,MISSISSIPPI,1
OXFORD,WISCONSIN,1
FORREST CITY,ARKANSAS,1
Mangilao,GUAM,1
MERCEDES,TEXAS,1
WENTWORTH,NORTH CAROLINA,1
PLYMOUTH,MINNESOTA,1
KNOXVILLE,TENNESSEE,1
RICHFIELD,UTAH,1
DETROIT,MICHIGAN,1
JACKSONVILLE,FLORIDA,1
ST ALBANS,VERMONT,1
LOS FRESNOS,TEXAS,1
HAGERSTOWN,MARYLAND,1
LAFAYETTE,INDIANA,1
FORT SUPPLY,OKLAHOMA,1
LEESBURG,VIRGINIA,1
ELYRIA,OHIO,1
DEL NORTE,COLORADO,1
CAMBRIDGE,MASSACHUSETTS,1
DALTON,GEORGIA,1
WILSON,NORTH CAROLINA,1
MEXICO,MISSOURI,1
OMAHA,NEBRASKA,1
JOHNSTOWN,NEW YORK,1
PANAMA CITY,FLORIDA,1
FLORESVILLE,TEXAS,1
STATEN ISLAND,NEW YORK,1
WEST PLAINS,MISSOURI,1
NEW HAVEN,CONNECTICUT,1
BOWLING GREEN,KENTUCKY,1
ALTONA,NEW YORK,1
ALDEN,NEW YORK,1
NORMAN,OKLAHOMA,1
GETTYSBURG,PENNSYLVANIA,1
SIOUX CITY,IOWA,1
PEKIN,ILLINOIS,1
HOLLISTER,CALIFORNIA,1
Tuscon,ARIZONA,1
TOPEKA,KANSAS,1
HONDO,TEXAS,1
MT PLEASANT,IOWA,1
CAMDEN,NEW JERSEY,1
MORGAN CITY,LOUISIANA,1
WINSTON-SALEM,NORTH CAROLINA,1
AVENAL,CALIFORNIA,1
JEROME,IDAHO,1
SAN PEDRO,CALIFORNIA,1
MANSFIELD,LOUISIANA,1
CHALMETTE,LOUISIANA,1
ROMULUS,NEW YORK,1
DAYTONA BEACH,FLORIDA,1
ELIZABETH,NEW JERSEY,1
BLOUNTVILLE,TENNESSEE,1
HOPEWELL,VIRGINIA,1
WHARTON,TEXAS,1
CONWAY,SOUTH CAROLINA,1
HAGATNA,GUAM,1
MASON,MICHIGAN,1
CINCINNATI,OHIO,1
COALINGA,CALIFORNIA,1
ELY,NEVADA,1
IONE,CALIFORNIA,1
NEVADA CITY,CALIFORNIA,1
WINFIELD,KANSAS,1
JACKSON,WYOMING,1
MOORHEAD,MINNESOTA,1
SONYEA,NEW YORK,1
GULFPORT,MISSISSIPPI,1
MEMPHIS,TENNESSEE,1
